0,23977,1
1,34526,5
1,2370,4
1,14683,9
1,29982,5
1,21142,5
1,20363,3
1,23830,6
1,34035,1
6067,19720,3
6067,20183,8
3,4950,9
3,18029,10
3,3358,8
3,34935,5
3,5916,9
4,2865,6
4,9342,9
5,27803,6
6,27803,6
6,18612,10
6,18876,8
6,31890,3
6,17647,1
6,18562,7
7,37493,8
7,33643,4
7,30199,2
7,35773,1
7,11273,5
7,12775,1
7,21864,6
7,9051,4
34957,21395,5
34957,9891,7
34957,9340,3
34957,31260,4
34957,14820,10
34957,31890,10
34957,26666,8
34957,22516,4
8,19253,5
8,27803,9
8,11083,1
8,23973,8
8,36652,2
8,10080,10
8,14003,7
8,4793,7
9,15477,7
9,23914,1
9,27803,10
9,33129,6
9,27768,4
9,19407,8
9,30596,10
10,35842,4
10,23589,10
10,37280,6
10,2078,5
10,23670,3
10,32836,10
10,34238,1
10,19345,3
10,19973,6
10,29557,1
10,33138,3
10,35762,4
10,4708,7
10,31890,2
10,15495,4
10,10487,7
10,12102,7
10,27313,8
10,30199,2
10,27450,5
10,19222,8
10,7843,1
10,19256,2
10,14478,10
10,26143,5
10,12894,4
10,11514,1
10,16321,4
10,35633,8
10,22564,9
10,22666,7
10,22674,8
10,5567,7
10,29876,2
10,33500,2
10,14720,1
10,32322,4
10,37577,8
10,36578,8
10,3797,3
10,4530,1
10,27340,7
10,26639,8
10,915,7
10,1407,8
10,10456,9
10,17332,10
10,13638,6
10,18850,2
10,1923,6
10,11271,4
10,31938,9
10,27314,9
10,16641,5
10,30002,2
10,7027,8
10,10535,1
10,29465,1
10,35008,3
10,23972,1
10,27803,7
10,16995,8
10,21934,1
10,6229,5
10,29964,6
10,4469,10
11,27803,9
11,31890,8
12,20854,2
12,4398,2
12,9598,8
12,25134,1
12,13228,3
12,11051,4
13,27803,5
13,9051,6
13,5629,6
14,20880,4
14,34989,7
14,15143,2
14,36404,1
14,35773,8
14,33988,6
14,30809,7
14,20363,5
14,18638,1
14,18910,9
14,31126,9
14,7825,7
14,28922,8
14,34629,4
14,13396,3
14,23838,5
14,8635,3
14,4174,5
15,10219,6
15,17787,1
15,3368,3
15,19253,3
15,12921,3
15,30002,5
15,5310,6
15,9049,5
15,30833,5
15,23204,8
15,10080,4
15,27803,5
15,1501,5
15,36652,5
15,33671,9
15,18163,4
15,31890,1
15,29892,3
17,36099,4
17,18876,8
17,32821,3
18,27803,9
18,27696,9
18,23458,1
20,33863,2
20,27745,8
20,29082,5
20,3922,7
21,12261,6
21,23332,10
21,34114,7
21,21547,5
21,9553,10
21,22321,10
21,15191,7
21,14242,10
21,23783,1
21,37057,1
21,2282,5
21,2992,7
21,36632,6
21,19470,3
21,31890,10
21,5300,3
21,20919,6
21,33029,2
21,10352,2
21,12986,10
21,29615,3
21,21847,3
21,20961,10
21,12396,3
21,3747,4
21,8172,5
21,6790,5
21,27877,7
21,5081,8
21,8360,10
21,1315,6
21,33684,1
21,27803,2
22,32575,9
22,13685,8
22,291,10
22,3072,7
22,19222,9
22,35241,6
22,7027,5
23,21298,3
23,34114,1
23,22584,2
23,21498,5
23,9173,9
23,19358,4
23,9388,8
23,14635,6
23,6221,10
23,35359,10
23,30235,3
23,31890,10
24,33029,8
24,28761,2
24,327,9
24,36652,1
24,22059,7
24,13638,9
24,7976,7
24,26877,6
24,12523,2
24,3712,4
24,32060,3
24,35558,1
24,10840,6
24,23267,3
24,9722,2
24,14805,9
24,2431,2
24,27954,5
6071,5061,5
6071,31890,10
6071,31987,9
6071,11051,4
6071,1739,1
26,32718,7
26,17091,1
26,15554,4
26,3153,4
26,31890,7
26,29055,2
26,34606,5
27,14755,6
27,28477,2
27,24094,7
27,12798,2
27,9947,5
27,35523,8
27,19629,6
27,1659,9
27,37475,10
27,28014,5
27,11225,7
27,32771,10
27,30417,6
27,32452,8
27,34900,10
27,2035,2
27,18588,10
27,885,2
27,25948,1
27,30502,6
27,14177,3
27,18595,10
27,3491,3
27,14947,9
27,17644,5
27,7415,1
27,25129,2
27,31525,10
27,14185,8
27,22836,2
27,25748,7
27,35065,10
27,8360,2
27,33424,10
27,17949,9
27,23906,7
27,7847,10
27,831,2
27,3582,4
27,14341,4
27,7495,7
27,25819,9
27,25756,3
27,9339,5
27,32507,7
27,17221,7
27,12838,4
27,7075,2
27,714,2
27,1767,4
27,33833,8
27,479,5
27,13090,6
27,35668,2
27,24810,2
27,10001,2
27,10219,5
27,26298,10
27,11889,8
27,34059,7
27,27874,10
27,23051,4
27,26124,7
27,20024,7
27,29347,3
27,27031,4
27,31500,10
27,16621,8
27,1268,4
27,11720,3
28,13003,1
29,31890,5
29,36652,9
30,6631,9
30,20854,1
30,23664,7
30,11051,9
30,19222,1
30,9051,3
31,10808,5
31,23880,7
31,12505,4
31,15908,7
31,17736,7
31,31890,8
31,2059,10
32,4293,9
32,22351,3
33,10510,6
33,5398,10
34,27474,8
34,3635,8
34,27804,6
34,18741,4
24655,25120,1
24655,6452,9
24655,18377,4
24655,15977,4
24655,20084,9
24655,22253,4
24655,15940,7
24655,22464,8
